Lebensmittelbezeichnung;Energie;Protein;Fett;Kohlenhydrate;Ballaststoffe
Pfifferling roh;26;3,91;0,271;0,551;3,27
Shiitakepilz roh;30;2,5;0,2;2,38;4,17
Austernpilz roh;32;3,31;0,22;1,27;5,85
Vegetarische Pastete, Brotaufstrich hefebasiert;229;4,95;18,15;7,9;6,75
Milch fettarm, frisch, 1,5 % Fett, pasteurisiert;44;3,49;1,54;3,86;0
Vollmilch frisch, 3,5 % Fett, pasteurisiert;62;3,55;3,49;4,03;0
Rohmilch/Vorzugsmilch, mind. 3,5 % Fett;67;3,262;3,78;4,716;0
H-Milch fettarm, 1,5 % Fett, ultrahocherhitzt;44;3,16;1,45;4,21;0
H-Vollmilch 3,5 % Fett, ultrahocherhitzt;62;3,18;3,49;4,19;0
Joghurt mild, mind. 3,5 % Fett;67;3,98;3,46;4,13;0
Schlagsahne mind. 36 % Fett;363;2,2;38;3;0
Kondensmagermilch max. 1 % Fett, gezuckert;269;10;0,2;56,7;0
Kondensmilch mind. 8 % Fett, gezuckert;322;7,91;8,7;52,9;0
Kondensmilch 10 % Fett;195;7,63;10,19;17,9;0,02
Joghurt mild, aus entrahmter Milch, max. 1 % Fett, mit Fruchtzubereitung, gesüßt;75;3,45;0,42;13,26;0,32
Joghurt mild, max. 3,8 % Fett, mit Fruchtzubereitung, gesüßt;96;3,01;2,96;13;1,15
Emmentaler mind. 45 % Fett i. Tr.;374;27,5;29,15;0;0
Schnittkäse mind. 45 % Fett i. Tr.;337;25,22;26,04;0;0
Gouda 48 % Fett i. Tr.;379;22,47;31,58;0;0
Schnittkäse halbfest mind. 45 % Fett i. Tr.;316;21,46;25,06;0,1;0,27
Brie mind. 60 % Fett i. Tr.;329;15,22;29,7;0,01;0
Camembert mind. 45 % Fett i. Tr.;257;19,58;19,82;0,05;0
Limburger mind. 40 % Fett i. Tr.;249;21,18;18,22;0,019;0
Schnittkäse aus Ziegenmilch, mind. 50 % Fett i. Tr.;384;19,16;33,63;0,022;0,42
Weichkäse aus Ziegenmilch, mind. 45 % Fett i. Tr.;285;17,86;22,66;1,92;0,62
Frischkäsezubereitung Natur, mind. 60 % Fett i. Tr.;252;6,6;23,25;3,69;0
Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.;66;11,85;0,18;3,68;0
Frischkäse aus Ziegenmilch, Natur, mind. 45 % Fett i. Tr.;230;17,94;16,42;2,02;0
Schmelzkäsezubereitung 45 - 52 % Fett i. Tr.;284;11,8;23,7;5,3;0
Frischkäsezubereitung mind. 60 % Fett i. Tr., mit Gemüse/Kräutern;234;5,57;21,46;3,89;0,58
Eistee mit Zitronen-/Pfirsichgeschmack, gesüßt;25;0;<LOD;6,2;0
Trinkwasser;0;0;0;0;0
Kaffee (Getränk);1;0,12;0;0;0,31425
Kaffee (Getränk) aus Instantpulver;2;0,33;<LOD;0;0,1
Instantkaffeepulver;150;19,5;1,2;4,1;22,3
Cappuccino Instantpulver, gesüßt;403;10,34;10,9;60,5;1,8
Grüntee (Getränk);0;0,1;0;0;0
Schwarztee (Getränk);0;TR;0;0;0
Malzgetränk, alkoholfrei;43;0,38;0;10,32;0
Weizenbier kristallklar;40;0,496;TR;2,433;TR
Hefeweizen/Weizenbier, naturtrüb;42;0,614;TR;2,452;TR
Export hell;42;0,485;TR;2,238;0
Pilsner Bier;38;0,422;<LOD or <LOQ;2,218;0
Schwarzbier;39;0,502;TR;2,284;0
Weißwein trocken;64;0,1;<LOD or <LOQ;0,33;0
Weißwein halbtrocken;74;0,15;TR;1,288;0
Rotwein halbtrocken;84;TR;TR;1,77;0
Rotwein trocken;70;0,22;TR;0,7;0
Qualitätsschaumwein, Sekt, trocken;75;0;<LOD;2,09;0
Rosewein lieblich;72;0,1;0;2,5;0
Haselnussöl;899;0;99,9;0;0
Mandelöl;900;0;100;0;0
Kürbiskernöl;900;0;100;0;0
Butter mild gesäuert;747;1,188;82,2;0,571;0
Fischleberöl/Lebertran;900;0;100;0;0
Rinderfett/Rindertalg;897;0,425;99,5;0;0
Tahin (Sesammus);595;18;56;0,7;8,2
Speisesalz/Siedesalz/Tafelsalz;0;0;0;0;0
Nitritpökelsalz;0;0;0;0;0
Nitritpökelsalz jodiert;0;0;0;0;0
Apfelessig;18;0,2;0;0,147;0
Senf mittelscharf;111;5,51;6,96;2,94;4,5
Tomatenketchup;98;1,4;0,1;21,16;1,81
Sojasauce/Sojasoße;66;6,3;0,88;5,47;1,14
Feinkostsauce/Grillsauce, Mayonnaise-Basis;274;1,1;24,58;11,15;0,64
Glutamat/Mononatriumglutamat/Natriumglutamat;0;0;-;0;-
Basilikum getrocknet;211;23;4,07;1,71;37,7
Pfeffer schwarz, getrocknet;304;10,92;2,77;46,07;25,5
Kutterhilfsmittel (E 450);0;0;-;0;-
Backpulver;88;0,09;0,124;21,6;0
Hirschhornsalz (Ammoniumhydrogencarbonat, E 503);0;0;0;0;0
Pottasche (99 % Kaliumcarbonat, E 501);0;0;-;0;-
Sahnestandmittel;369;0,067;0,045;92,057;0,201
Backhefe getrocknet (Trockenbackhefe);334;40,4;7,61;14,3;23,3
Backhefe frisch (Frischbackhefe);128;16,7;1,2;10;5,18
Apfelpektin getrocknet;186;1,5;<LOQ;32;24
Gelatine/Speisegelatine;341;85,1;0,1;0;0
Milchsäure 80 % (E 270);240;0;0;0;0
Citronensäure/Zitronensäure (E 330);300;0;0;0;0
Ascorbinsäure (E 300);0;0;0;0;0
Essigsäure 60 % (E 260);180;0;0;0;0
Fleisch Bouillon/Brühe/Suppe (Brühwürfel, Pulver);207;7,24;6,48;27,76;2,82
Gemüse Bouillon/Brühe/Suppe (Brühwürfel, Pulver);195;5,82;5,8;27,91;2,9
Hühner Bouillon/Brühe/Suppe (Brühwürfel, Pulver);201;6,96;4,3;32,75;0,78
Zucker weiß (Raffinadezucker/Weißzucker);400;0;0;100;0
Zucker braun (Kandisfarin/Rohzucker);387;0;0;96,7;TR
Traubenzucker (Dextrose/Glukose);400;0;0;100;0
Milchzucker (Laktose);400;0;0;100;0
Malzzucker (Maltose);400;0;0;100;0
Fruchtzucker (Fruktose);400;0;0;100;0
Nuss-Nougat-Creme;530;6,9;30,55;54,75;3,52
Glukosesirup maltosehaltig;413;0;0;79,5;-
Sorbit Pulver (E 420);235;0;0;98;0
Xylit Pulver (E 967);238;TR;0;99;0
Mannit Pulver (E 421);240;TR;0;100;0
Tafelsüße Tabletten (Süßstoffe: Cyclamat, Saccharin);52;TR;0;0;0
Tafelsüße Flüssigsüße (Süßstoffe: Cyclamat, Saccharin);0;TR;0;0;0
Schokoladeneis;232;3,62;10,48;29,25;2,41
Walnusseis;240;3,4;12,8;26,74;1,77
Lakritze;311;5,21;0,5;70,64;1,27
Milchschokoladen-Riegel gefüllt mit Karamell, gerösteten Erdnüssen und Candycreme;494;9,08;25,48;54,96;4,22
Schokoladen-Schaumkuss;380;2,96;8,66;68,47;8,83
Milchschokoladen-Riegel gefüllt mit Candycreme/mit Candycreme und Karamell;446;3,72;17,05;68,7;0,82
Vollmilchschokoladen-Riegel gefüllt mit Milchcreme;565;7,51;40,26;39,39;6,67
Kakaopulver schwach entölt;365;22,61;19,8;10,9;26,32
Aal roh;288;15,1;25,3;0;0
Dorschleber roh;549;4,4;59;0;0
Hornfisch/Hornhecht, roh;107;19,5;3,2;0;0
Kabeljaurogen roh;113;22,4;2,6;0;0
Makrele roh;149;18,6;8,31;0;0
Dorsch/Kabeljau, roh;79;17,8;0,84;0;0
